INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('1', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'E74', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('2', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No', 'No', 'E237', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('3', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'E112', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('4', 'No', 'No', 'No', 'No', 'No', 'Yes', 'No', 'Yes', 'E67', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('5', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'E230', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('6', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No', 'No', 'E67', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('7', 'No', 'No', 'Yes', 'No', 'No', 'Yes', 'Yes', 'Yes', 'E86', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('8', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'E201', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('9', 'No', 'Yes', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'E186', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('10', 'Yes', 'No', 'No', 'Yes', 'No', 'No', 'No', 'No', 'E115', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('11', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'No', 'E197', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('12', 'No', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'E116', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('13', 'No', 'No', 'No', 'No', 'Yes', 'No', 'Yes', 'No', 'E186', '2020');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('14', 'No', 'No', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'E42', '2021');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('15', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'No', 'E182', '2019');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('16', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'E62', '2022');
INSERT INTO Benefits (BENEFITID, MEDICAL, DENTAL, VISION, SHORTTERMDISABILITY, F401K, LONGTERMDISABILITY, CRITICALILLNESS, ACCIDENTALDEATHINSUARANCE, EMPLOYEE_EMP_CODE, Year) VALUES ('17', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'E173', '2019');
