INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('1', '2021', 'E1', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('2', '2021', 'E2', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('3', '2021', 'E4', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('4', '2021', 'E9', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('5', '2021', 'E10', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('6', '2021', 'E11', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('7', '2021', 'E12', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('8', '2021', 'E16', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('9', '2021', 'E18', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('10', '2021', 'E19', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('11', '2021', 'E22', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('12', '2021', 'E24', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('13', '2021', 'E25', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('14', '2021', 'E26', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('15', '2021', 'E27', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('16', '2021', 'E28', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('17', '2021', 'E29', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('18', '2021', 'E30', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('19', '2021', 'E31', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('20', '2021', 'E32', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('21', '2021', 'E33', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('22', '2021', 'E36', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('23', '2021', 'E37', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('24', '2021', 'E38', '2');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('25', '2021', 'E39', '3');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('26', '2021', 'E42', '1');
INSERT INTO performance (performanceid, year, employee_emp_code, rating) VALUES ('27', '2021', 'E43', '2');
